agec3,date,hospst,pneumococcal pneumonia (481),flu,pneumonia,popsize
0 to 4,2-Jul-89,IL,6,2,127,858716
0 to 4,9-Jul-89,IL,1,1,119,858716
0 to 4,16-Jul-89,IL,3,2,87,858716
0 to 4,23-Jul-89,IL,3,3,84,858716
0 to 4,30-Jul-89,IL,4,0,100,858716
0 to 4,6-Aug-89,IL,0,0,96,858716
0 to 4,13-Aug-89,IL,3,1,94,858716
0 to 4,20-Aug-89,IL,3,1,86,858716
0 to 4,27-Aug-89,IL,2,1,88,858716
0 to 4,3-Sep-89,IL,5,1,108,858716
0 to 4,10-Sep-89,IL,6,0,103,858716
0 to 4,17-Sep-89,IL,7,1,135,858716
0 to 4,24-Sep-89,IL,2,0,163,858716
0 to 4,1-Oct-89,IL,6,1,158,858716
0 to 4,8-Oct-89,IL,6,3,196,858716
0 to 4,15-Oct-89,IL,6,3,202,858716
0 to 4,22-Oct-89,IL,4,2,199,858716
0 to 4,29-Oct-89,IL,4,1,156,858716
0 to 4,5-Nov-89,IL,4,3,216,858716
0 to 4,12-Nov-89,IL,4,1,237,858716
0 to 4,19-Nov-89,IL,9,0,220,858716
0 to 4,26-Nov-89,IL,5,3,275,858716
0 to 4,3-Dec-89,IL,8,2,326,858716
0 to 4,10-Dec-89,IL,4,7,285,858716
0 to 4,17-Dec-89,IL,12,10,436,858716
0 to 4,24-Dec-89,IL,15,29,451,858716
0 to 4,31-Dec-89,IL,8,13,543,858716
0 to 4,7-Jan-90,IL,9,24,462,858716
0 to 4,14-Jan-90,IL,14,24,472,858716
0 to 4,21-Jan-90,IL,7,17,492,858716
0 to 4,28-Jan-90,IL,7,12,485,858716
0 to 4,4-Feb-90,IL,7,9,509,858716
0 to 4,11-Feb-90,IL,12,5,444,858716
0 to 4,18-Feb-90,IL,5,3,377,858716
0 to 4,25-Feb-90,IL,2,3,337,858716
0 to 4,4-Mar-90,IL,6,4,294,858716
0 to 4,11-Mar-90,IL,5,1,327,858716
0 to 4,18-Mar-90,IL,2,1,240,858716
0 to 4,25-Mar-90,IL,5,3,237,858716
0 to 4,1-Apr-90,IL,9,2,258,858716
0 to 4,8-Apr-90,IL,2,1,201,858716
0 to 4,15-Apr-90,IL,2,0,206,858716
0 to 4,22-Apr-90,IL,7,1,215,858716
0 to 4,29-Apr-90,IL,3,1,164,858716
0 to 4,6-May-90,IL,1,2,150,858716
0 to 4,13-May-90,IL,3,0,159,858716
0 to 4,20-May-90,IL,6,2,158,858716
0 to 4,27-May-90,IL,3,1,190,858716
0 to 4,3-Jun-90,IL,5,1,167,858716
0 to 4,10-Jun-90,IL,2,3,139,858716
0 to 4,17-Jun-90,IL,1,2,114,858716
0 to 4,24-Jun-90,IL,3,1,111,858716
0 to 4,1-Jul-90,IL,4,2,113,862338
0 to 4,8-Jul-90,IL,3,1,110,862338
0 to 4,15-Jul-90,IL,2,3,103,862338
0 to 4,22-Jul-90,IL,2,3,94,862338
0 to 4,29-Jul-90,IL,2,1,105,862338
0 to 4,5-Aug-90,IL,4,0,80,862338
0 to 4,12-Aug-90,IL,4,0,88,862338
0 to 4,19-Aug-90,IL,1,1,85,862338
0 to 4,26-Aug-90,IL,4,0,81,862338
0 to 4,2-Sep-90,IL,2,0,117,862338
0 to 4,9-Sep-90,IL,4,2,157,862338
0 to 4,16-Sep-90,IL,5,1,165,862338
0 to 4,23-Sep-90,IL,3,0,192,862338
0 to 4,30-Sep-90,IL,4,1,209,862338
0 to 4,7-Oct-90,IL,10,3,197,862338
0 to 4,14-Oct-90,IL,12,1,233,862338
0 to 4,21-Oct-90,IL,7,1,233,862338
0 to 4,28-Oct-90,IL,5,3,219,862338
0 to 4,4-Nov-90,IL,14,1,253,862338
0 to 4,11-Nov-90,IL,11,3,267,862338
0 to 4,18-Nov-90,IL,10,2,223,862338
0 to 4,25-Nov-90,IL,7,1,236,862338
0 to 4,2-Dec-90,IL,4,0,241,862338
0 to 4,9-Dec-90,IL,9,1,265,862338
0 to 4,16-Dec-90,IL,10,3,284,862338
0 to 4,23-Dec-90,IL,9,2,288,862338
0 to 4,30-Dec-90,IL,4,3,386,862338
0 to 4,6-Jan-91,IL,11,4,345,862338
0 to 4,13-Jan-91,IL,11,2,323,862338
0 to 4,20-Jan-91,IL,12,2,347,862338
0 to 4,27-Jan-91,IL,7,6,441,862338
0 to 4,3-Feb-91,IL,13,8,489,862338
0 to 4,10-Feb-91,IL,12,15,480,862338
0 to 4,17-Feb-91,IL,12,7,497,862338
0 to 4,24-Feb-91,IL,13,10,416,862338
0 to 4,3-Mar-91,IL,8,11,400,862338
0 to 4,10-Mar-91,IL,11,2,409,862338
0 to 4,17-Mar-91,IL,11,2,354,862338
0 to 4,24-Mar-91,IL,8,2,350,862338
0 to 4,31-Mar-91,IL,9,2,307,862338
0 to 4,7-Apr-91,IL,5,3,305,862338
0 to 4,14-Apr-91,IL,4,1,266,862338
0 to 4,21-Apr-91,IL,6,3,257,862338
0 to 4,28-Apr-91,IL,7,0,220,862338
0 to 4,5-May-91,IL,5,0,190,862338
0 to 4,12-May-91,IL,5,2,195,862338
0 to 4,19-May-91,IL,4,1,160,862338
0 to 4,26-May-91,IL,5,0,154,862338
0 to 4,2-Jun-91,IL,2,3,146,862338
0 to 4,9-Jun-91,IL,6,4,140,862338
0 to 4,16-Jun-91,IL,3,2,138,862338
0 to 4,23-Jun-91,IL,4,1,127,862338
0 to 4,30-Jun-91,IL,4,0,105,862338
0 to 4,7-Jul-91,IL,1,1,102,881610
0 to 4,14-Jul-91,IL,4,0,92,881610
0 to 4,21-Jul-91,IL,0,1,83,881610
0 to 4,28-Jul-91,IL,0,0,81,881610
0 to 4,4-Aug-91,IL,2,0,98,881610
0 to 4,11-Aug-91,IL,1,0,87,881610
0 to 4,18-Aug-91,IL,1,1,115,881610
0 to 4,25-Aug-91,IL,1,1,88,881610
0 to 4,1-Sep-91,IL,4,1,89,881610
0 to 4,8-Sep-91,IL,1,0,127,881610
0 to 4,15-Sep-91,IL,3,1,129,881610
0 to 4,22-Sep-91,IL,5,2,175,881610
0 to 4,29-Sep-91,IL,6,1,202,881610
0 to 4,6-Oct-91,IL,7,3,189,881610
0 to 4,13-Oct-91,IL,1,0,179,881610
0 to 4,20-Oct-91,IL,8,0,198,881610
0 to 4,27-Oct-91,IL,10,1,171,881610
0 to 4,3-Nov-91,IL,6,2,180,881610
0 to 4,10-Nov-91,IL,1,0,223,881610
0 to 4,17-Nov-91,IL,11,4,287,881610
0 to 4,24-Nov-91,IL,7,6,260,881610
0 to 4,1-Dec-91,IL,8,10,284,881610
0 to 4,8-Dec-91,IL,6,35,318,881610
0 to 4,15-Dec-91,IL,5,34,367,881610
0 to 4,22-Dec-91,IL,6,22,360,881610
0 to 4,29-Dec-91,IL,16,12,401,881610
0 to 4,5-Jan-92,IL,5,9,408,881610
0 to 4,12-Jan-92,IL,7,1,362,881610
0 to 4,19-Jan-92,IL,6,2,398,881610
0 to 4,26-Jan-92,IL,8,3,436,881610
0 to 4,2-Feb-92,IL,11,3,507,881610
0 to 4,9-Feb-92,IL,6,7,460,881610
0 to 4,16-Feb-92,IL,11,3,442,881610
0 to 4,23-Feb-92,IL,13,2,411,881610
0 to 4,1-Mar-92,IL,7,6,348,881610
0 to 4,8-Mar-92,IL,7,1,302,881610
0 to 4,15-Mar-92,IL,11,2,256,881610
0 to 4,22-Mar-92,IL,2,0,247,881610
0 to 4,29-Mar-92,IL,4,0,262,881610
0 to 4,5-Apr-92,IL,4,1,253,881610
0 to 4,12-Apr-92,IL,3,0,214,881610
0 to 4,19-Apr-92,IL,2,0,192,881610
0 to 4,26-Apr-92,IL,5,0,158,881610
0 to 4,3-May-92,IL,3,0,153,881610
0 to 4,10-May-92,IL,5,1,164,881610
0 to 4,17-May-92,IL,0,0,167,881610
0 to 4,24-May-92,IL,3,0,132,881610
0 to 4,31-May-92,IL,3,0,136,881610
