"","agec3","date","hospst","pneumococcal.pneumonia..481.","flu","pneumonia","popsize","age.class"
"1","0 to 4",1989-07-02,"IL",6,2,127,858716,1
"2","0 to 4",1989-07-09,"IL",1,1,119,858716,1
"3","0 to 4",1989-07-16,"IL",3,2,87,858716,1
"4","0 to 4",1989-07-23,"IL",3,3,84,858716,1
"5","0 to 4",1989-07-30,"IL",4,0,100,858716,1
"6","0 to 4",1989-08-06,"IL",0,0,96,858716,1
"7","0 to 4",1989-08-13,"IL",3,1,94,858716,1
"8","0 to 4",1989-08-20,"IL",3,1,86,858716,1
"9","0 to 4",1989-08-27,"IL",2,1,88,858716,1
"10","0 to 4",1989-09-03,"IL",5,1,108,858716,1
"11","0 to 4",1989-09-10,"IL",6,0,103,858716,1
"12","0 to 4",1989-09-17,"IL",7,1,135,858716,1
"13","0 to 4",1989-09-24,"IL",2,0,163,858716,1
"14","0 to 4",1989-10-01,"IL",6,1,158,858716,1
"15","0 to 4",1989-10-08,"IL",6,3,196,858716,1
"16","0 to 4",1989-10-15,"IL",6,3,202,858716,1
"17","0 to 4",1989-10-22,"IL",4,2,199,858716,1
"18","0 to 4",1989-10-29,"IL",4,1,156,858716,1
"19","0 to 4",1989-11-05,"IL",4,3,216,858716,1
"20","0 to 4",1989-11-12,"IL",4,1,237,858716,1
"21","0 to 4",1989-11-19,"IL",9,0,220,858716,1
"22","0 to 4",1989-11-26,"IL",5,3,275,858716,1
"23","0 to 4",1989-12-03,"IL",8,2,326,858716,1
"24","0 to 4",1989-12-10,"IL",4,7,285,858716,1
"25","0 to 4",1989-12-17,"IL",12,10,436,858716,1
"26","0 to 4",1989-12-24,"IL",15,29,451,858716,1
"27","0 to 4",1989-12-31,"IL",8,13,543,858716,1
"28","0 to 4",1990-01-07,"IL",9,24,462,858716,1
"29","0 to 4",1990-01-14,"IL",14,24,472,858716,1
"30","0 to 4",1990-01-21,"IL",7,17,492,858716,1
"31","0 to 4",1990-01-28,"IL",7,12,485,858716,1
"32","0 to 4",1990-02-04,"IL",7,9,509,858716,1
"33","0 to 4",1990-02-11,"IL",12,5,444,858716,1
"34","0 to 4",1990-02-18,"IL",5,3,377,858716,1
"35","0 to 4",1990-02-25,"IL",2,3,337,858716,1
"36","0 to 4",1990-03-04,"IL",6,4,294,858716,1
"37","0 to 4",1990-03-11,"IL",5,1,327,858716,1
"38","0 to 4",1990-03-18,"IL",2,1,240,858716,1
"39","0 to 4",1990-03-25,"IL",5,3,237,858716,1
"40","0 to 4",1990-04-01,"IL",9,2,258,858716,1
"41","0 to 4",1990-04-08,"IL",2,1,201,858716,1
"42","0 to 4",1990-04-15,"IL",2,0,206,858716,1
"43","0 to 4",1990-04-22,"IL",7,1,215,858716,1
"44","0 to 4",1990-04-29,"IL",3,1,164,858716,1
"45","0 to 4",1990-05-06,"IL",1,2,150,858716,1
"46","0 to 4",1990-05-13,"IL",3,0,159,858716,1
"47","0 to 4",1990-05-20,"IL",6,2,158,858716,1
"48","0 to 4",1990-05-27,"IL",3,1,190,858716,1
"49","0 to 4",1990-06-03,"IL",5,1,167,858716,1
"50","0 to 4",1990-06-10,"IL",2,3,139,858716,1
"51","0 to 4",1990-06-17,"IL",1,2,114,858716,1
"52","0 to 4",1990-06-24,"IL",3,1,111,858716,1
"53","0 to 4",1990-07-01,"IL",4,2,113,862338,1
"54","0 to 4",1990-07-08,"IL",3,1,110,862338,1
"55","0 to 4",1990-07-15,"IL",2,3,103,862338,1
"56","0 to 4",1990-07-22,"IL",2,3,94,862338,1
"57","0 to 4",1990-07-29,"IL",2,1,105,862338,1
"58","0 to 4",1990-08-05,"IL",4,0,80,862338,1
"59","0 to 4",1990-08-12,"IL",4,0,88,862338,1
"60","0 to 4",1990-08-19,"IL",1,1,85,862338,1
"61","0 to 4",1990-08-26,"IL",4,0,81,862338,1
"62","0 to 4",1990-09-02,"IL",2,0,117,862338,1
"63","0 to 4",1990-09-09,"IL",4,2,157,862338,1
"64","0 to 4",1990-09-16,"IL",5,1,165,862338,1
"65","0 to 4",1990-09-23,"IL",3,0,192,862338,1
"66","0 to 4",1990-09-30,"IL",4,1,209,862338,1
"67","0 to 4",1990-10-07,"IL",10,3,197,862338,1
"68","0 to 4",1990-10-14,"IL",12,1,233,862338,1
"69","0 to 4",1990-10-21,"IL",7,1,233,862338,1
"70","0 to 4",1990-10-28,"IL",5,3,219,862338,1
"71","0 to 4",1990-11-04,"IL",14,1,253,862338,1
"72","0 to 4",1990-11-11,"IL",11,3,267,862338,1
"73","0 to 4",1990-11-18,"IL",10,2,223,862338,1
"74","0 to 4",1990-11-25,"IL",7,1,236,862338,1
"75","0 to 4",1990-12-02,"IL",4,0,241,862338,1
"76","0 to 4",1990-12-09,"IL",9,1,265,862338,1
"77","0 to 4",1990-12-16,"IL",10,3,284,862338,1
"78","0 to 4",1990-12-23,"IL",9,2,288,862338,1
"79","0 to 4",1990-12-30,"IL",4,3,386,862338,1
"80","0 to 4",1991-01-06,"IL",11,4,345,862338,1
"81","0 to 4",1991-01-13,"IL",11,2,323,862338,1
"82","0 to 4",1991-01-20,"IL",12,2,347,862338,1
"83","0 to 4",1991-01-27,"IL",7,6,441,862338,1
"84","0 to 4",1991-02-03,"IL",13,8,489,862338,1
"85","0 to 4",1991-02-10,"IL",12,15,480,862338,1
"86","0 to 4",1991-02-17,"IL",12,7,497,862338,1
"87","0 to 4",1991-02-24,"IL",13,10,416,862338,1
"88","0 to 4",1991-03-03,"IL",8,11,400,862338,1
"89","0 to 4",1991-03-10,"IL",11,2,409,862338,1
"90","0 to 4",1991-03-17,"IL",11,2,354,862338,1
"91","0 to 4",1991-03-24,"IL",8,2,350,862338,1
"92","0 to 4",1991-03-31,"IL",9,2,307,862338,1
"93","0 to 4",1991-04-07,"IL",5,3,305,862338,1
"94","0 to 4",1991-04-14,"IL",4,1,266,862338,1
"95","0 to 4",1991-04-21,"IL",6,3,257,862338,1
"96","0 to 4",1991-04-28,"IL",7,0,220,862338,1
"97","0 to 4",1991-05-05,"IL",5,0,190,862338,1
"98","0 to 4",1991-05-12,"IL",5,2,195,862338,1
"99","0 to 4",1991-05-19,"IL",4,1,160,862338,1
"100","0 to 4",1991-05-26,"IL",5,0,154,862338,1
"101","0 to 4",1991-06-02,"IL",2,3,146,862338,1
"102","0 to 4",1991-06-09,"IL",6,4,140,862338,1
"103","0 to 4",1991-06-16,"IL",3,2,138,862338,1
"104","0 to 4",1991-06-23,"IL",4,1,127,862338,1
"105","0 to 4",1991-06-30,"IL",4,0,105,862338,1
"106","0 to 4",1991-07-07,"IL",1,1,102,881610,1
"107","0 to 4",1991-07-14,"IL",4,0,92,881610,1
"108","0 to 4",1991-07-21,"IL",0,1,83,881610,1
"109","0 to 4",1991-07-28,"IL",0,0,81,881610,1
"110","0 to 4",1991-08-04,"IL",2,0,98,881610,1
"111","0 to 4",1991-08-11,"IL",1,0,87,881610,1
"112","0 to 4",1991-08-18,"IL",1,1,115,881610,1
"113","0 to 4",1991-08-25,"IL",1,1,88,881610,1
"114","0 to 4",1991-09-01,"IL",4,1,89,881610,1
